project,commit_url,files_modified,found_in_both,vuln_commit,vuln_lines_added,vuln_lines_deleted,fix_commit,fix_lines_added,fix_lines_deleted,cve,cwe
acpica,https://github.com/acpica/acpica/commit/37f2c716f2c6ab14c3ba557a539c3ee3224931b5,source/components/namespace/nseval.c,No,b542af9a4caeb8397c08421d2a4f2f60952f9e79,1,1,37f2c716f2c6ab14c3ba557a539c3ee3224931b5,10,0,,
acpica,https://github.com/acpica/acpica/commit/987a3b5cf7175916e2a4b6ea5b8e70f830dfe732,source/components/dispatcher/dsutils.c,No,b542af9a4caeb8397c08421d2a4f2f60952f9e79,1,1,987a3b5cf7175916e2a4b6ea5b8e70f830dfe732,8,1,,
acpica,https://github.com/acpica/acpica/commit/a23325b2e583556eae88ed3f764e457786bf4df6,source/components/namespace/nsutils.c,No,521bedc49b42e59116de1b54dcd95d30d36cac90,4,4,a23325b2e583556eae88ed3f764e457786bf4df6,10,15,,
admesh,https://github.com/admesh/admesh/commit/e84d8353f1347e1f26f0a95770d92ba14e6ede38,src/connect.c,Yes,8ec09d23869d8931866a6879a31d999ea7a928cc,582314,367,e84d8353f1347e1f26f0a95770d92ba14e6ede38,7,4,CVE-2018-25033,CWE-125
advancecomp,https://github.com/amadvance/advancecomp/commit/78a56b21340157775be2462a19276b4d31d2bd01,lib/png.c,No,7deeafc02b29cc51d51079e66f4f43f986ff9cc5,26,11,78a56b21340157775be2462a19276b4d31d2bd01,17,2,,
advancecomp,https://github.com/amadvance/advancecomp/commit/7894a6e684ce68ddff9f4f4919ab8e3911ac8040,pngex.cc,No,78a56b21340157775be2462a19276b4d31d2bd01,17,2,7894a6e684ce68ddff9f4f4919ab8e3911ac8040,25,1,,
aircrack-ng,https://github.com/aircrack-ng/aircrack-ng/commit/88702a3ce4c28a973bf69023cd0312f412f6193e,src/osdep/network.c,No,da087238963c1239fdabd47dc1b65279605aca70,2,0,88702a3ce4c28a973bf69023cd0312f412f6193e,1,1,,
aircrack-ng,https://github.com/aircrack-ng/aircrack-ng/commit/da087238963c1239fdabd47dc1b65279605aca70,src/buddy-ng.c,No,091b153f294b9b695b0b2831e65936438b550d7b,2,0,da087238963c1239fdabd47dc1b65279605aca70,2,0,,
aircrack-ng,https://github.com/aircrack-ng/aircrack-ng/commit/091b153f294b9b695b0b2831e65936438b550d7b,src/aireplay-ng.c,No,ff70494dd389ba570dbdbf36f217c28d4381c6b5,1,1,091b153f294b9b695b0b2831e65936438b550d7b,2,0,,
aircrack-ng,https://github.com/aircrack-ng/aircrack-ng/commit/ff70494dd389ba570dbdbf36f217c28d4381c6b5,src/airodump-ng.c,No,4e18c0af8e73ea7717660fbbcc892ef2f1894490,9,0,ff70494dd389ba570dbdbf36f217c28d4381c6b5,1,1,,
aspell,https://github.com/GNUAspell/aspell/commit/80fa26c74279fced8d778351cff19d1d8f44fe4e,common/file_util.cpp;common/config.cpp;common/getdata.cpp,No,00f937e725211ce794c97b987413d4ea5ef7c7ff,28,4,80fa26c74279fced8d778351cff19d1d8f44fe4e,3,2,,
asylo,https://github.com/google/asylo/commit/8fed5e334131abaf9c5e17307642fbf6ce4a57ec,asylo/platform/host_call/trusted/host_calls.cc,Yes,6ff3b77ffe110a33a2f93848a6333f33616f02c4,4,3,8fed5e334131abaf9c5e17307642fbf6ce4a57ec,8,0,,
asylo,https://github.com/google/asylo/commit/299f804acbb95a612ab7c504d25ab908aa59ae93,asylo/platform/host_call/trusted/host_calls.cc,No,e582f36ac49ee11a21d23ad6a30c333092e0a94e,4,2,299f804acbb95a612ab7c504d25ab908aa59ae93,1,1,,
asylo,https://github.com/google/asylo/commit/fa6485c5d16a7355eab047d4a44345a73bc9131e,asylo/platform/host_call/trusted/host_calls.cc,Yes,6e158d558abd3c29a0208e30c97c9a8c5bd4230f,5,0,fa6485c5d16a7355eab047d4a44345a73bc9131e,5,0,,
asylo,https://github.com/google/asylo/commit/e582f36ac49ee11a21d23ad6a30c333092e0a94e,asylo/platform/primitives/sgx/ecalls.cc,No,bc3fdb4d7d9ec54cd6915481e98bfdb313c257e9,48,105,e582f36ac49ee11a21d23ad6a30c333092e0a94e,4,2,,
asylo,https://github.com/google/asylo/commit/b1d120a2c7d7446d2cc58d517e20a1b184b82200,asylo/platform/host_call/trusted/host_calls.cc,Yes,8fed5e334131abaf9c5e17307642fbf6ce4a57ec,8,0,b1d120a2c7d7446d2cc58d517e20a1b184b82200,6,1,,
asylo,https://github.com/google/asylo/commit/a37fb6a0e7daf30134dbbf357c9a518a1026aa02,asylo/platform/host_call/trusted/concurrency.cc,No,116b5aba9142558025b48b2c0e648bb765a557f8,24,25,a37fb6a0e7daf30134dbbf357c9a518a1026aa02,4,0,CVE-2020-8937,CWE-787
asylo,https://github.com/google/asylo/commit/ed0926bff0e423cd122a18b3d2fc772817f66825,asylo/platform/host_call/trusted/host_calls.cc,Yes,fa6485c5d16a7355eab047d4a44345a73bc9131e,5,0,ed0926bff0e423cd122a18b3d2fc772817f66825,6,0,CVE-2020-8935,CWE-295
asylo,https://github.com/google/asylo/commit/83036fd841d33baa7e039f842d131aa7881fdcc2,asylo/platform/primitives/sgx/trusted_sgx.cc,No,ed0926bff0e423cd122a18b3d2fc772817f66825,6,0,83036fd841d33baa7e039f842d131aa7881fdcc2,5,0,CVE-2020-8936,CWE-125
asylo,https://github.com/google/asylo/commit/90d7619e9dd99bcdb6cd28c7649d741d254d9a1a,asylo/platform/system_call/system_call.cc,No,b0413b7e1babb149a0467b924437b7cdc5313e57,294,307,90d7619e9dd99bcdb6cd28c7649d741d254d9a1a,3,0,CVE-2021-22552,CWE-125
asylo,https://github.com/google/asylo/commit/6ff3b77ffe110a33a2f93848a6333f33616f02c4,asylo/platform/host_call/trusted/host_calls.cc,No,bda9772e7872b0d2b9bee32930cf7a4983837b39,11,0,6ff3b77ffe110a33a2f93848a6333f33616f02c4,4,3,CVE-2020-8939,CWE-125
asylo,https://github.com/google/asylo/commit/6e158d558abd3c29a0208e30c97c9a8c5bd4230f,asylo/platform/host_call/trusted/host_calls.cc,No,6c407852ce7a71ca48634ecc4d35a7abbbde6b3b,149,49,6e158d558abd3c29a0208e30c97c9a8c5bd4230f,5,0,CVE-2020-8943,CWE-125
asylo,https://github.com/google/asylo/commit/bda9772e7872b0d2b9bee32930cf7a4983837b39,asylo/platform/system_call/type_conversions/manual_types_functions.cc,No,83036fd841d33baa7e039f842d131aa7881fdcc2,5,0,bda9772e7872b0d2b9bee32930cf7a4983837b39,11,0,CVE-2020-8938,CWE-787
asylo,https://github.com/google/asylo/commit/a47ef55db2337d29de19c50cd29b0deb2871d31c,asylo/platform/primitives/sgx/untrusted_cache_malloc.cc,No,808125885af1a8e211739bc84a9f8525e157d72a,1,1,a47ef55db2337d29de19c50cd29b0deb2871d31c,5,4,CVE-2021-22550,CWE-200
asylo,https://github.com/google/asylo/commit/ecfcd0008b6f8f63c6fa3cc1b62fcd4a52f2c0ad,asylo/platform/primitives/sgx/trusted_sgx.cc,No,e95fc9eddd497bdb2e08a1d9eff2f2bb008387e2,21,15,ecfcd0008b6f8f63c6fa3cc1b62fcd4a52f2c0ad,4,3,CVE-2021-22549,CWE-200
asylo,https://github.com/google/asylo/commit/382da2b8b09cbf928668a2445efb778f76bd9c8a,asylo/platform/primitives/sgx/ecalls.cc,No,c712eb94951a20b2f2559baf43d19b7ebaf282ab,36,0,382da2b8b09cbf928668a2445efb778f76bd9c8a,3,1,CVE-2020-8944,CWE-787
asylo,https://github.com/google/asylo/commit/53ed5d8fd8118ced1466e509606dd2f473707a5c,asylo/platform/primitives/sgx/trusted_sgx.cc,No,e73373f00ab2d85294cbb47898028577c1080c3e,119,28,53ed5d8fd8118ced1466e509606dd2f473707a5c,4,3,CVE-2021-22548,CWE-788
at-spi2-core,https://github.com/GNOME/at-spi2-core/commit/c2e87fe00b596dba20c9d57d406ab8faa744b15a,bus/at-spi-bus-launcher.c,No,43b8453d43ab56b7f717050f8102a4ebfcc1dcc7,8,2,c2e87fe00b596dba20c9d57d406ab8faa744b15a,1,1,,
atomicparsley,https://github.com/wez/atomicparsley/commit/d72ccf06c98259d7261e0f3ac4fd8717778782c1,.github/workflows/ci.yml;tests/issue-32.mp4;src/extracts.cpp;tests/test.sh,Yes,020176f688d9efec68f1ce1b100e052bff1cfc2e,3,12,d72ccf06c98259d7261e0f3ac4fd8717778782c1,17,1,CVE-2021-37232,CWE-787
atril,https://github.com/mate-desktop/atril/commit/f4291fd62f7dfe6460d2406a979ccfac0c68dd59,backend/comics/comics-document.c,No,3fa7dc556be3395ae5b3273568426beb4416bd40,2,2,f4291fd62f7dfe6460d2406a979ccfac0c68dd59,6,0,,
aubio,https://github.com/aubio/aubio/commit/b1559f4c9ce2b304d8d27ffdc7128b6795ca82e5,src/tempo/tempo.c,No,c4a8bc138e49de8b43fcd2221ef84dfa5073208f,3,3,b1559f4c9ce2b304d8d27ffdc7128b6795ca82e5,4,3,,
aubio,https://github.com/aubio/aubio/commit/eda95c9c22b4f0b466ae94c4708765eaae6e709e,src/spectral/filterbank.c,No,1029ac707264007902cff59ba44e1a7e226ab909,3,0,eda95c9c22b4f0b466ae94c4708765eaae6e709e,12,0,,
audiofile,https://github.com/antlarr/audiofile/commit/7d65f89defb092b63bcbc5d98349fb222ca73b3c,sfcommands/sfconvert.c,No,beacc44eb8cdf6d58717ec1a5103c5141f1b37f9,46,6,7d65f89defb092b63bcbc5d98349fb222ca73b3c,32,2,,
